t_norm,t_h,t_m,t_s,cpm_mean
13:22:20,0.00,0,0,60152
14:26:34,1.07,64.22187355,3853.312413,53366
15:23:24,2.02,121.0585908,7263.515445,47750.1
13:20:53,23.98,1438.539207,86312.35244,3816.2
14:35:32,25.22,1513.188395,90791.30372,3308.4
15:37:13,26.25,1574.874018,94492.44106,2902.7
